Date,Open,High,Low,Close,Adj Close,Volume,Hi-Low,SMA
3/6/2020,113.870003,117.910004,113.010002,117.230003,115.726654,9803700,4.900002,
3/9/2020,113.82,120.629997,112.730003,117.160004,115.657547,19747800,7.899994,
3/10/2020,118.099998,120.68,114.919998,119.790001,118.253822,12599100,5.760002,
3/11/2020,117.510002,119.029999,112.800003,114.43,112.962555,10540000,6.229996,
3/12/2020,106.019997,111.489998,102.980003,104.050003,102.715675,18774400,8.509995,
3/13/2020,108.239998,114.589996,103.879997,114.099998,112.636787,14320700,10.709999,
3/16/2020,105.199997,111.330002,102,106.760002,105.390915,12251300,9.330002,
3/17/2020,112.769997,119.269997,110.459999,119.260002,117.730621,17602000,8.809998,
3/18/2020,115,128.080002,114.5,122.580002,121.008041,25785300,13.580002,
3/19/2020,124.459999,127,117.629997,119.449997,118.439934,19033500,9.370003,
3/20/2020,119.5,122.790001,111.889999,113.970001,113.006279,18468300,10.900002,
3/23/2020,114.169998,117.540001,112.209999,114.279999,113.313652,13122000,5.330002,
3/24/2020,115.870003,117.370003,111.309998,115.029999,114.057312,14235000,6.060005,
3/25/2020,112.970001,114,108.050003,109.400002,108.474922,17762500,5.949997,
3/26/2020,109.400002,110.870003,106.849998,109.82,108.891365,19416900,4.020005,
3/27/2020,110.110001,112.279999,108.599998,109.580002,108.653397,12053500,3.680001,
3/30/2020,111.860001,115.800003,110.940002,115.190002,114.215958,9737500,4.860001,
3/31/2020,114.309998,116.190002,112.639999,113.620003,112.659241,8752800,3.550003,
4/1/2020,112.150002,115.529999,111.800003,114.139999,113.174835,9423200,3.729996,
4/2/2020,113.18,119.110001,112.339996,118.650002,117.646706,9838500,6.770005,
4/3/2020,117.209999,119.910004,117.029999,119.480003,118.469688,9541700,2.880005,
4/6/2020,119.059998,126.389999,118.940002,126.07,125.00396,15922900,7.449997,
4/7/2020,123.980003,126.489998,121.639999,121.989998,120.958458,13789900,4.849999,
4/8/2020,123.690002,123.809998,120.589996,121.839996,120.809723,9292200,3.220002,
4/9/2020,118.220001,122.870003,117.660004,121.800003,120.770065,10944400,5.209999,
4/13/2020,121.269997,125.669998,121.169998,125.300003,124.240471,8064700,4.5,
4/14/2020,127.099998,129.789993,126.040001,129,127.90918,11366300,3.749992,
4/15/2020,129,129.880005,127.120003,128.759995,127.671211,7478400,2.760002,
4/16/2020,129,132.919998,128.25,132.330002,131.211029,10627400,4.669998,
4/17/2020,131.479996,132.970001,129.729996,132.119995,131.002792,10305100,3.240005,
4/20/2020,132.389999,133.380005,129.759995,129.850006,128.751999,8133900,3.62001,
4/21/2020,130.070007,131.029999,128.160004,129.210007,128.117416,9300200,2.869995,
4/22/2020,130,132.380005,128.899994,131.589996,130.47728,6485000,3.480011,
4/23/2020,129.850006,131.089996,127.730003,128.529999,127.443153,9613300,3.359993,
4/24/2020,129.350006,129.889999,128.559998,129.440002,128.345459,5782800,1.330001,
4/27/2020,130,130.309998,128.169998,128.300003,127.215103,5974600,2.14,
4/28/2020,128.279999,130.240005,127.699997,128,126.917641,6910700,2.540008,
4/29/2020,125.57,125.760002,122.550003,123.599998,122.55484,14870700,3.209999,
4/30/2020,123.080002,123.440002,121.040001,121.550003,120.522179,13493700,2.400001,
5/1/2020,121.480003,123.690002,120.779999,122.919998,121.880592,10381300,2.910003,
5/4/2020,123.839996,124.400002,121.709999,123.699997,122.653999,5935900,2.690003,
5/5/2020,123.800003,125.260002,123.260002,124.730003,123.675293,6445800,2,
5/6/2020,125.209999,125.489998,122.849998,123.300003,122.257385,5769700,2.64,
5/7/2020,123.459999,123.980003,121.5,121.889999,121.390945,9115200,2.480003,
5/8/2020,122.75,123.010002,121.620003,122.940002,122.436646,6944400,1.389999,
5/11/2020,123.040001,124.309998,123.010002,123.669998,123.163658,8444700,1.299996,
5/12/2020,124.480003,125.660004,123.779999,123.779999,123.273209,6366700,1.880005,
5/13/2020,123.5,126.239998,123.089996,123.709999,123.203491,9725100,3.150002,
5/14/2020,124.849998,125.129997,121.300003,123.419998,122.91468,7411000,3.829994,
5/15/2020,123.470001,125.940002,123.089996,125.940002,125.424362,10590000,2.850006,
5/18/2020,127.5,128.559998,126.099998,127.660004,127.137321,13035900,2.46,
5/19/2020,131.75,131.990005,124.809998,124.949997,124.438416,24915400,7.180007,
5/20/2020,126.489998,126.589996,124.629997,125.449997,124.936363,10748800,1.959999,
5/21/2020,124.889999,126.139999,124.25,124.989998,124.478249,7482700,1.889999,
5/22/2020,125.099998,125.349998,123.769997,124.330002,123.820953,7453200,1.580001,
5/26/2020,124.339996,125.510002,123.629997,123.860001,123.352882,7910200,1.880005,
5/27/2020,123.970001,124.489998,121.029999,122.480003,121.978531,10357900,3.459999,
5/28/2020,123.720001,124.949997,123.160004,123.690002,123.183578,8141600,1.789993,
5/29/2020,124.239998,124.709999,121.93,124.059998,123.552055,9772400,2.779999,
6/1/2020,123.440002,124.410004,122.360001,123.959999,123.452469,6850100,2.050003,
6/2/2020,123.589996,124.150002,122.809998,123.940002,123.432556,6395900,1.340004,
6/3/2020,123.900002,123.989998,122.660004,123.470001,122.964478,6754300,1.329994,
6/4/2020,122.800003,123.889999,121.82,122.110001,121.610046,8005000,2.069999,
6/5/2020,122.57,122.68,119.910004,121.559998,121.062294,13112400,2.769996,
6/8/2020,119.580002,121.239998,119.459999,121.239998,120.743607,9448100,1.779999,
6/9/2020,121.599998,122,120.559998,121.349998,120.853157,6915400,1.440002,
6/10/2020,121.559998,122.5,121.129997,121.160004,120.66394,9380500,1.370003,
6/11/2020,120.989998,122.580002,119.480003,120.089996,119.598312,11387600,3.099999,
6/12/2020,120.510002,120.75,117.059998,117.739998,117.257935,10781100,3.690002,
6/15/2020,118.400002,118.68,117.010002,118.080002,117.59655,10901100,1.669998,
6/16/2020,119.800003,120.230003,118.540001,119.650002,119.160118,8389200,1.690002,
6/17/2020,119.860001,120.129997,118.400002,119.029999,118.542656,6715100,1.729995,
6/18/2020,118.540001,119.059998,117.660004,117.989998,117.506912,6690000,1.399994,
6/19/2020,118.889999,120.300003,117.75,119.849998,119.359299,13359600,2.550003,
6/22/2020,120.970001,122.089996,120.400002,121.68,121.181808,9112800,1.689994,
6/23/2020,122.75,122.849998,120.959999,121.07,120.574303,6575900,1.889999,
6/24/2020,120.739998,121.120003,119.580002,120.300003,119.807457,6871600,1.540001,
6/25/2020,119.760002,120.160004,118.379997,119.709999,119.219872,6856600,1.780007,
6/26/2020,119.599998,120.839996,118.019997,118.32,117.835564,8997200,2.819999,
6/29/2020,118.5,119.68,118.220001,119.059998,118.572533,5503800,1.459999,
6/30/2020,119.220001,120.129997,118.540001,119.779999,119.289581,6836400,1.589996,
7/1/2020,119.449997,119.919998,118.660004,119.690002,119.199959,6577900,1.259994,
7/2/2020,120.089996,120.879997,118.860001,119.209999,118.721916,5898600,2.019996,
7/6/2020,119.800003,119.870003,118.220001,118.889999,118.403229,7231700,1.650002,
7/7/2020,118.449997,127.550003,118.220001,126.949997,126.430222,31152700,9.330002,
7/8/2020,128,128.130005,124.400002,124.440002,123.930504,17405700,3.730003,
7/9/2020,125.610001,128.179993,124.949997,127.75,127.226952,14257200,3.229996,
7/10/2020,128.740005,131.369995,127.260002,130.679993,130.144943,14745600,4.109993,
7/13/2020,131.330002,133.630005,128.889999,129.520004,128.989716,14112800,4.740006,
7/14/2020,129.279999,132.5,129.029999,132.009995,131.469513,8818600,3.470001,
7/15/2020,132.270004,134.130005,130.800003,132,131.459549,10577100,3.330002,
7/16/2020,132.050003,132.729996,131.240005,132.199997,131.658737,5892200,1.489991,
7/17/2020,133.369995,133.369995,131.470001,131.740005,131.200623,6063200,1.899994,
7/20/2020,131.960007,132.740005,131.139999,131.470001,130.931717,6114200,1.600006,
7/21/2020,131.559998,133.990005,131.449997,132.330002,131.788208,7240400,2.540008,
7/22/2020,132.570007,133.029999,131.190002,132.660004,132.116852,5388200,1.839997,
7/23/2020,133,133.149994,131.309998,131.639999,131.101028,5598800,1.839996,
7/24/2020,130.949997,132.399994,130.509995,131.240005,130.702667,4345800,1.889999,
7/27/2020,130.860001,131.979996,130.860001,131.210007,130.672791,4681900,1.119995,
7/28/2020,131.5,132.380005,130.919998,131.759995,131.220535,4804700,1.460007,
7/29/2020,131.559998,131.860001,129.850006,130.690002,130.154922,4741100,2.009995,
7/30/2020,129.419998,130.419998,128.720001,130.119995,129.58725,4596100,1.699997,
7/31/2020,129.649994,130.089996,127.620003,129.399994,128.870193,7211500,2.469993,
8/3/2020,129.910004,130.119995,128.270004,129.300003,128.770615,4990500,1.849991,
